path,tier,has_authz_check,test_file_match,verdict
super-admin/grounding/ai-issues,2,yes,no,OK
super-admin/grounding/coverage,2,yes,yes,OK
super-admin/grounding/health,2,yes,yes,OK
super-admin/grounding/traces,2,yes,yes,OK
super-admin/grounding/verification-queue,2,yes,yes,OK
super-admin/health,2,yes,yes,OK
super-admin/improvement,2,yes,no,OK
super-admin/improvement/deploy,2,yes,yes,OK
super-admin/improvement/learning-monitors,2,yes,no,OK
super-admin/improvement/learning-quality,2,yes,no,OK
super-admin/improvement/qa-gate,2,yes,no,OK
super-admin/improvement/staging,2,yes,no,OK
super-admin/institutions,2,yes,yes,OK
super-admin/institutions/[id]/admins,2,yes,yes,OK
super-admin/institutions/[id]/pause,2,yes,yes,OK
super-admin/institutions/[id]/resume,2,yes,no,OK
super-admin/institutions/attach-vercel-domain,2,yes,yes,OK
super-admin/institutions/billing,2,yes,yes,OK
super-admin/institutions/bulk-onboard,2,yes,yes,OK
super-admin/institutions/health,2,yes,yes,OK
super-admin/institutions/provision,2,yes,yes,OK
super-admin/institutions/verify-domain,2,yes,yes,OK
super-admin/intelligence/geography,2,yes,no,OK
super-admin/intelligence/overview,2,yes,no,OK
super-admin/intelligence/revenue,2,yes,no,OK
super-admin/intelligence/school/[id],2,yes,no,OK
super-admin/intelligence/schools,2,yes,yes,OK
super-admin/invoices,2,yes,yes,OK
super-admin/login,2,no,yes,OK-public-by-design
super-admin/logs,2,yes,no,OK
super-admin/marking-integrity,2,yes,no,OK
super-admin/marking-integrity/[studentId],2,yes,no,OK
super-admin/marking-path-mix,2,yes,yes,OK
super-admin/misconceptions,2,yes,no,OK
super-admin/module-overrides,2,yes,yes,OK
super-admin/mol-shadow,2,yes,yes,OK
super-admin/observability,2,yes,yes,OK
super-admin/observability/channels,2,yes,no,OK
super-admin/observability/channels/[id],2,yes,no,OK
super-admin/observability/channels/[id]/test,2,yes,yes,OK
super-admin/observability/events,2,yes,yes,OK
super-admin/observability/events/[id],2,yes,no,OK
super-admin/observability/export,2,yes,yes,OK
super-admin/observability/rules,2,yes,yes,OK
super-admin/observability/rules/[id],2,yes,no,OK
super-admin/observability/rules/[id]/test,2,yes,yes,OK
super-admin/observability/snapshot,2,yes,yes,OK
super-admin/oracle-health,2,yes,yes,OK
super-admin/payment-ops/reconcile,2,yes,yes,OK
super-admin/payment-ops/stats,2,yes,yes,OK
super-admin/payment-ops/stuck,2,yes,no,OK
super-admin/platform-ops,2,yes,no,OK
super-admin/readiness-rubric,2,yes,yes,OK
super-admin/reconciliation,2,yes,yes,OK
super-admin/reconciliation/[id]/approve,2,yes,yes,OK
super-admin/reconciliation/[id]/reject,2,yes,yes,OK
super-admin/reports,2,yes,yes,OK
super-admin/roles,2,yes,no,OK
super-admin/seat-usage,2,yes,no,OK
super-admin/sessions,2,yes,no,OK
super-admin/sla,2,yes,yes,OK
super-admin/stats,2,yes,yes,OK
super-admin/strategic-reports/bloom-by-grade,2,yes,no,OK
super-admin/strategic-reports/cohort-retention,2,yes,no,OK
super-admin/students/[id]/dashboard,2,yes,yes,OK
super-admin/students/[id]/foxy-history,2,yes,no,OK
super-admin/students/[id]/impersonate,2,yes,yes,OK
super-admin/students/[id]/notes,2,yes,yes,OK
super-admin/students/[id]/profile,2,yes,yes,OK
super-admin/students/[id]/progress,2,yes,yes,OK
super-admin/students/[id]/quiz-history,2,yes,no,OK
super-admin/students/[id]/subjects,2,yes,yes,OK
super-admin/subjects,2,yes,yes,OK
super-admin/subjects/[code],2,yes,no,OK
super-admin/subjects/grade-map,2,yes,no,OK
super-admin/subjects/plan-access,2,yes,no,OK
super-admin/subjects/violations,2,yes,no,OK
super-admin/subscribers,2,yes,yes,OK
super-admin/subscribers/[name]/dead-letters,2,yes,no,OK
super-admin/subscribers/[name]/replay,2,yes,yes,OK
super-admin/support,2,yes,yes,OK
super-admin/test-accounts,2,yes,yes,OK
super-admin/users,2,yes,yes,OK
support/ai-issue,2,yes,yes,OK
support/ticket,2,yes,yes,OK
support/tickets,2,yes,yes,OK
support/tickets/[id],2,yes,no,OK
tenant/config,2,no,yes,OK-public-by-design
v1/admin/audit-logs,2,yes,no,OK
v1/admin/roles,2,yes,no,OK
