route|file|top|methods|mutating|auth_first|auth_line|auth_class|auth_all|permission_codes|admin_level|zod_import_line|validation|uuid_check_line|has_dynamic_segment|audit_first|audit_line|audit_all|supabase_client|bounding|unbounded_flag|n_select|n_from|n_eq|n_rpc|rate_limit_line|ui_callers|ui_caller_files|prefix_ui_callers|internal_api_callers|internal_files|test_callers|external_callers|external_files|orphan_status|lines|with_route|runtime|deprecated
/api/rhythm/today|apps/host/src/app/api/rhythm/today/route.ts|rhythm|GET,POST|true|authorizeRequest|39|RBAC|createSupabaseRouteClient(RLS)@37;authorizeRequest@39;createSupabaseServerClient(RLS)@138;auth.getUser@139|study_plan.view||0|NONE|0|false|NONE|||rls|NONE||0|0|0|0|0|4|apps/host/src/app/(student)/quiz/page.tsx(2),packages/ui/src/dashboard/os/TodaysMission.tsx(2),packages/lib/src/flags/registries/pedagogy.ts(3),packages/lib/src/learn/remediation-queue-adapter.ts(2)||3|apps/host/src/app/api/dive/state/route.ts(1),apps/host/src/app/api/v2/today/route.ts(2),apps/host/src/app/api/whatsapp/link/start/route.ts(2)|5|8|supabase/migrations/20260509120000_pedagogy_v2_wave_1_flags.sql(2),supabase/migrations/20260619000200_adaptive_interventions.sql(1),supabase/migrations/20260619000300_seed_ff_adaptive_remediation_v1.sql(2),supabase/migrations/20260620001700_enable_pedagogy_v2_daily_rhythm_global.sql(5)|CALLED|152|false||false
/api/scan-solve|apps/host/src/app/api/scan-solve/route.ts|scan-solve|POST|true|authorizeRequest|89|RBAC|authorizeRequest@89|quiz.attempt||0|NONE|0|false|NONE|||service-role|single(x2);head:true||3|11|6|0|0|7|packages/ui/src/ScanSolver.tsx(1),mobile/lib/core/router/app_router.dart(1),mobile/lib/data/models/scan_solve_models.dart(4),mobile/lib/data/repositories/scan_solve_repository.dart(2)||1|apps/host/src/app/api/student/grade-conclusion/route.ts(1)|3|4|supabase/functions/ncert-question-engine/index.ts(1),supabase/functions/ncert-solver/index.ts(1),supabase/migrations/20260524100000_phase_5_substrate.sql(1),scripts/route-access-manifest.json(1)|CALLED|483|false||false
/api/school-admin/ai-assistant|apps/host/src/app/api/school-admin/ai-assistant/route.ts|school-admin|GET,POST|true|authorizeSchoolAdmin|157|RBAC|createServerClient(ssr,RLS)@115;authorizeSchoolAdmin@157|<var:PERMISSION>||0|NONE|0|false|logAudit|392|logAudit@392|service-role+rls|limit(x3)@169;single(x2);maybeSingle(x1);head:true||8|12|9|1|0|3|apps/host/src/app/school-admin/ai-assistant/page.tsx(1),packages/ui/src/school-admin/principal-ai/PrincipalAiChat.tsx(2),packages/lib/src/flags/registries/school.ts(1)||0||1|2|supabase/migrations/20260623010000_seed_unseeded_b2b_flags.sql(1),scripts/route-access-manifest.json(1)|CALLED|733|false||false
/api/school-admin/analytics|apps/host/src/app/api/school-admin/analytics/route.ts|school-admin|GET|false|authorizeSchoolAdmin|25|RBAC|authorizeSchoolAdmin@25|institution.view_analytics||0|NONE|0|false|NONE|||service-role|maybeSingle(x1);head:true||7|7|9|0|0|0|||0||0|1|scripts/route-access-manifest.json(1)|ORPHAN-FRONTEND|146|false||false
/api/school-admin/announcements|apps/host/src/app/api/school-admin/announcements/route.ts|school-admin|DELETE,GET,PATCH,POST|true|authorizeSchoolAdmin|10|RBAC|authorizeSchoolAdmin@10|school.manage_settings||0|NONE|0|false|logSchoolAudit|366|logSchoolAudit@366|service-role|range(x1)@33;single(x2);maybeSingle(x1)||8|10|12|0|0|1|apps/host/src/app/school-admin/announcements/page.tsx(4)||0||0|1|scripts/route-access-manifest.json(1)|CALLED|483|false||false
/api/school-admin/api-keys|apps/host/src/app/api/school-admin/api-keys/route.ts|school-admin|DELETE,GET,POST|true|authorizeSchoolAdmin|18|RBAC|authorizeSchoolAdmin@18|||0|NONE|0|false|logSchoolAudit|196|logSchoolAudit@196|service-role|single(x2)||3|5|3|0|0|2|apps/host/src/app/school-admin/api-keys/page.tsx(3),packages/lib/src/public-api/auth.ts(1)||0||0|1|scripts/route-access-manifest.json(1)|CALLED|338|false||false
/api/school-admin/audit-log|apps/host/src/app/api/school-admin/audit-log/route.ts|school-admin|GET|false|authorizeSchoolAdmin|23|RBAC|authorizeSchoolAdmin@23|school.manage_settings||0|NONE|0|false|from('school_audit_log')|67|from('school_audit_log')@67|service-role|range(x1)@71;limitParam@29||3|3|2|0|0|1|apps/host/src/app/school-admin/audit-log/page.tsx(1)||0||0|1|scripts/route-access-manifest.json(1)|CALLED|173|false||false
/api/school-admin/branding|apps/host/src/app/api/school-admin/branding/route.ts|school-admin|GET,PUT|true|authorizeSchoolAdmin|18|RBAC|authorizeSchoolAdmin@18|||0|NONE|0|false|logSchoolAudit|270|logSchoolAudit@270|service-role|single(x1)||1|1|1|0|0|1|apps/host/src/app/school-admin/branding/page.tsx(3)||1|apps/host/src/app/api/super-admin/institutions/route.ts(1)|1|1|scripts/route-access-manifest.json(1)|CALLED|302|false||false
/api/school-admin/classes-at-risk|apps/host/src/app/api/school-admin/classes-at-risk/route.ts|school-admin|GET|false|NONE||NONE||||0|NONE|0|false|NONE|||none|NONE||0|0|0|1|0|2|apps/host/src/app/school-admin/CommandCenter.tsx(2),packages/lib/src/school-admin/command-center-types.ts(1)||0||2|1|scripts/route-access-manifest.json(1)|CALLED|86|false||false
/api/school-admin/classes/[classId]|apps/host/src/app/api/school-admin/classes/[classId]/route.ts|school-admin|PATCH|true|authorizeSchoolAdmin|22|RBAC|authorizeSchoolAdmin@22|class.manage||0|NONE|0|true|logSchoolAudit|89|logSchoolAudit@89|service-role|single(x1);maybeSingle(x2)||3|3|4|0|0|1|packages/lib/src/school-admin/bulk-roster.ts(1)|8|1|apps/host/src/app/api/school-admin/classes/bulk-create/route.ts(2)|2|1|scripts/route-access-manifest.json(3)|CALLED|120|false||false
