usePrincipalAi	packages/lib/src/use-principal-ai.ts	lines=5	files=2	apps/host/src/app/school-admin/ai-assistant/page.tsx:11 apps/host/src/app/school-admin/_components/SchoolAdminShell.tsx:12 
usePulse	packages/lib/src/pulse/use-pulse.ts	lines=4	files=2	apps/host/src/app/parent/children/page.tsx:12 apps/host/src/app/teacher/students/page.tsx:9 
usePythonVoiceEnabled	packages/lib/src/voice-feature-flag.ts	lines=8	files=5	apps/host/src/app/foxy/page.tsx:23 packages/ui/src/foxy/ChatInput.tsx:6 packages/ui/src/foxy/useVoicePlayback.ts:6 
useRealtimeOpsEvents	apps/host/src/app/super-admin/_hooks/useRealtimeOpsEvents.ts	lines=0	files=0	
useRealtimeRevalidator	packages/lib/src/hooks/useRealtimeRevalidator.ts	lines=6	files=2	apps/host/src/app/parent/page.tsx:11 apps/host/src/hooks/useRealtimeRevalidator.ts:2 
useRealtimeSubscription	packages/lib/src/hooks/useRealtimeSubscription.ts	lines=1	files=1	apps/host/src/hooks/useRealtimeSubscription.ts:5 
useRequireAuth	packages/lib/src/useRequireAuth.ts	lines=26	files=9	apps/host/src/app/(student)/assignments/page.tsx:45 apps/host/src/app/(student)/learn/foxy-test/page.tsx:6 apps/host/src/app/(student)/practice/page.tsx:27 
useResponsiveCanvas	packages/lib/src/hooks/useResponsiveCanvas.ts	lines=76	files=26	apps/host/src/app/stem-centre/page.tsx:469 packages/ui/src/simulations/AlveoliBreathingLab.tsx:3 packages/ui/src/simulations/ArchimedesPrinciple.tsx:3 
useReveal	packages/ui/src/landing/useReveal.ts	lines=59	files=19	apps/host/src/app/about/AboutContent.tsx:4 packages/ui/src/landing/FinalCtaV2.tsx:5 packages/ui/src/landing/MissionV2.tsx:4 
useReviewCards	packages/lib/src/swr.tsx	lines=4	files=4	apps/host/src/app/(student)/dashboard/StudentOSDashboard.tsx:24 packages/ui/src/dashboard/os/RevisionRail.tsx:9 packages/lib/src/flags/registries/consumer.ts:111 
useRevisionOsFlag	packages/lib/src/use-revision-os-flag.ts	lines=2	files=1	apps/host/src/app/(student)/revision/page.tsx:23 
useRevisionOverview	packages/ui/src/review/os/useRevisionOverview.ts	lines=11	files=6	packages/ui/src/dashboard/os/RevisionRail.tsx:33 packages/ui/src/review/os/DueBuckets.tsx:28 packages/ui/src/review/os/RevisionCenter.tsx:9 
useSELCheckIn	packages/ui/src/SELCheckIn.tsx	lines=2	files=1	apps/host/src/app/foxy/page.tsx:38 
useSchool	packages/lib/src/SchoolContext.tsx	lines=3	files=1	packages/ui/src/SchoolBrandedHeader.tsx:6 
useSchoolAdminAuth	packages/ui/src/school-admin/use-school-admin-auth.ts	lines=27	files=14	apps/host/src/app/school-admin/announcements/page.tsx:6 apps/host/src/app/school-admin/api-keys/page.tsx:6 apps/host/src/app/school-admin/audit-log/page.tsx:6 
useSchoolAdminCtx	packages/lib/src/school-admin/school-admin-context.tsx	lines=0	files=0	
useSchoolAdminRbac	packages/lib/src/use-school-admin-rbac.ts	lines=7	files=4	apps/host/src/app/school-admin/staff/page.tsx:13 apps/host/src/app/school-admin/staff/StaffManagement.tsx:9 apps/host/src/app/school-admin/_components/SchoolAdminShell.tsx:10 
useSchoolAdminRole	packages/lib/src/use-school-admin-role.ts	lines=7	files=3	apps/host/src/app/school-admin/ai-assistant/page.tsx:18 apps/host/src/app/school-admin/staff/StaffManagement.tsx:24 apps/host/src/app/school-admin/_components/SchoolAdminShell.tsx:11 
useSchoolCommandCenter	packages/lib/src/use-school-command-center.ts	lines=4	files=4	apps/host/src/app/school-admin/_components/SchoolAdminShell.tsx:34 packages/lib/src/use-school-provisioning.ts:6 packages/lib/src/use-school-pulse-flag.ts:8 
useSchoolProvisioning	packages/lib/src/use-school-provisioning.ts	lines=10	files=7	apps/host/src/app/school-admin/CommandCenter.tsx:46 apps/host/src/app/school-admin/enroll/page.tsx:6 apps/host/src/app/school-admin/invite-codes/page.tsx:8 
useSchoolPulse	packages/lib/src/pulse/use-pulse.ts	lines=6	files=2	apps/host/src/app/school-admin/CommandCenter.tsx:44 packages/lib/src/use-school-pulse-flag.ts:30 
useSchoolPulseFlag	packages/lib/src/use-school-pulse-flag.ts	lines=3	files=1	apps/host/src/app/school-admin/CommandCenter.tsx:45 
useSchoolReportsDepth	packages/lib/src/use-school-reports-depth.ts	lines=5	files=2	apps/host/src/app/school-admin/reports-depth/page.tsx:15 apps/host/src/app/school-admin/_components/SchoolAdminShell.tsx:9 
useScrollLock	packages/ui/src/ui/primitives/overlay/useScrollLock.ts	lines=16	files=7	packages/ui/src/admin-ui/DetailDrawer.tsx:5 packages/ui/src/ui/primitives/BottomSheet.tsx:15 packages/ui/src/ui/primitives/Dialog.tsx:18 
useSetup	packages/lib/src/onboarding/use-setup.ts	lines=7	files=3	apps/host/src/app/onboarding/page.tsx:26 packages/ui/src/dashboard/os/BoardScoreWidget.tsx:186 packages/ui/src/dashboard/os/BoardSubjectPicker.tsx:24 
useSimulations	packages/ui/src/useSimulations.ts	lines=0	files=0	
useSnapCurriculumTopics	packages/lib/src/foxy/use-snap-curriculum-topics.ts	lines=4	files=2	apps/host/src/app/foxy/snap/page.tsx:17 packages/ui/src/foxy/v2/SnapDoubt.tsx:37 
useStudentMasteryReport	packages/lib/src/teacher/use-teacher-data.ts	lines=4	files=1	apps/host/src/app/teacher/CommandCenter.tsx:27 
useStudentProfiles	packages/lib/src/swr.tsx	lines=0	files=0	
useStudentSnapshot	packages/lib/src/swr.tsx	lines=10	files=6	apps/host/src/app/(student)/practice/page.tsx:19 packages/ui/src/practice/os/PracticeCenter.tsx:10 packages/ui/src/practice/os/PracticeHeader.tsx:10 
useStudyArtifacts	apps/host/src/app/foxy/_hooks/useStudyArtifacts.ts	lines=3	files=1	apps/host/src/app/foxy/page.tsx:119 
